"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"     C/-146 P1",1.0000,0.430,71.00,330.00,261.00,,-146-06-28.0,,PAR,5,,4,T,,,,
"     C/-43 K1",1.0000,0.220,110.00,170.00,17.00,,-043-05-25.0,,PAR,54,,,T,,,,
"     C/240 V1",1.0000,0.370,44.00,214.00,82.00,,0240-11-10.0,,PAR,39,,,T,,,,
"     C/390 Q1",1.0000,0.920,36.00,356.00,23.00,,0390-09-05.0,,PAR,26,,3,T,,,,
"     C/400 F1",1.0000,0.210,32.00,38.00,47.00,,0400-02-25.0,,PAR,22,,,T,,,,
"     C/418 M1",1.0000,0.350,110.00,310.00,240.00,,0418-10-05.0,,PAR,82,,,T,,,,
"     C/442 V1",1.0000,1.530,106.00,271.00,178.00,,0442-12-15.0,,PAR,100,,,T,,,,
"     C/539 W1",1.0000,0.160,19.00,33.00,246.00,,0539-11-06.0,,PAR,74,,,T,,,,
"     C/565 O1",1.0000,0.830,121.00,180.00,79.00,,0565-07-15.0,,PAR,105,,,T,,,,
"     C/568 O1",1.0000,0.870,4.00,301.80,34.90,,0568-08-27.7,,PAR,63,,4,T,,,,
"     C/574 G1",1.0000,0.730,54.00,155.00,342.00,,0574-03-25.0,,PAR,49,,3,T,,,,
"     C/770 K1",1.0000,0.580,117.00,110.70,88.00,,0770-06-05.8,,PAR,44,,4,T,,,,
"     C/817 C1",1.0000,1.100,120.00,315.00,202.00,,0817-03-03.0,,PAR,15,,,T,,,,
"     C/868 B1",1.0000,0.420,65.00,321.00,277.00,,0868-03-04.0,,PAR,7,,3,T,,,,
"     C/905 K1",1.0000,0.200,140.00,70.00,50.00,,0905-04-26.0,,PAR,25,,4,T,,,,
"     C/962 B1",1.0000,0.630,119.00,2.00,85.00,,0961-12-28.0,,PAR,64,,3,T,,,,
"     C/1014 C1",1.0000,0.560,117.00,174.00,84.00,,1014-04-06.0,,PAR,8,,3,T,,,,
"     C/1018 P1",1.0000,0.620,35.00,185.00,197.00,,1018-08-27.0,,PAR,38,,4,T,,,,
"     C/1080 P1",1.0000,0.681,6.90,322.90,73.60,,1080-09-10.9,,PAR,17,,4,T,,,,
"     C/1092 A1",1.0000,0.770,124.00,114.00,62.00,,1092-02-22.0,,PAR,22,,3,T,,,,
"     C/1097 T1",1.0000,0.300,41.00,352.00,298.00,,1097-09-22.0,,PAR,11,,4,T,,,,
"     C/1110 K1",1.0000,0.830,137.00,321.00,358.00,,1110-05-18.0,,PAR,13,,3,T,,,,
"     C/1132 T1",1.0000,0.736,106.30,213.20,114.20,,1132-08-30.7,,PAR,4,,3,T,,,,
"     C/1147 A1",1.0000,0.120,110.00,282.00,300.00,,1147-01-28.0,,PAR,38,,,T,,,,
"     C/1230 X1",1.0000,0.860,16.00,303.70,181.00,,1230-12-28.8,,PAR,26,,3,T,,,,
"     C/1240 B1",1.0000,0.668,75.30,135.10,331.40,,1240-01-21.6,,PAR,22,,4,T,,,,
"     C/1245 D1",1.0000,0.500,20.00,180.00,87.00,,1245-04-01.0,,PAR,33,,,T,,,,
"     C/1264 N1",1.0000,0.825,16.40,151.04,159.71,,1264-07-20.2,,PAR,70,,7,T,,,,
"     C/1293 V1",1.0000,0.780,30.00,89.00,313.00,,1293-10-28.0,,PAR,28,,,T,,,,
"     C/1299 B1",1.0000,0.318,111.00,116.94,103.89,,1299-03-31.8,,PAR,40,,3,T,,,,
"     C/1304 C1",1.0000,0.840,65.00,88.70,25.00,,1304-02-05.5,,PAR,75,,,T,,,,
"     C/1304 Y1",1.0000,0.650,99.00,106.00,56.00,,1305-01-19.0,,PAR,4,,,T,,,,
"     C/1315 U1",1.0000,1.650,125.30,176.30,27.30,,1315-10-15.1,,PAR,67,,6,T,,,,
"     C/1337 M1",1.0000,0.749,143.60,97.61,79.61,,1337-06-14.8,,PAR,54,,7,T,,,,
"     C/1340 F1",1.0000,1.136,176.48,187.63,32.44,,1340-05-13.6,,PAR,11,,3,T,,,,
"     C/1345 O1",1.0000,0.890,23.00,150.00,210.00,,1345-08-23.0,,PAR,3,,,T,,,,
"     C/1351 W1",1.0000,1.010,7.00,264.00,165.00,,1351-11-19.0,,PAR,6,,3,T,,,,
"     C/1362 E1",1.0000,0.300,155.00,291.00,348.00,,1362-02-25.0,,PAR,27,,3,T,,,,
"     C/1368 E1",1.0000,0.480,131.00,217.00,90.00,,1368-05-05.0,,PAR,19,,,T,,,,
"     C/1376 M1",1.0000,0.550,76.00,300.70,81.00,,1376-07-31.7,,PAR,47,,3,T,,,,
"     C/1385 U1",1.0000,0.790,103.00,289.00,182.00,,1385-10-24.0,,PAR,12,,3,T,,,,
